Year,GDP
1/1/1960,59.18411649
1/1/1961,49.55705018
1/1/1962,46.6851785
1/1/1963,50.09730327
1/1/1964,59.06225489
1/1/1965,69.70915312
1/1/1966,75.87943478
1/1/1967,72.05702856
1/1/1968,69.99349789
1/1/1969,78.71882048
1/1/1970,91.50621131
1/1/1971,98.56202384
1/1/1972,112.1598136
1/1/1973,136.7698784
1/1/1974,142.2547421
1/1/1975,161.1624922
1/1/1976,151.6276874
1/1/1977,172.3490143
1/1/1978,148.3821115
1/1/1979,176.8565254
1/1/1980,189.6499925
1/1/1981,194.3690491
1/1/1982,203.5496272
1/1/1983,228.9502008
1/1/1984,258.0821473
1/1/1985,307.4795859
1/1/1986,298.805793
1/1/1987,271.3497735
1/1/1988,310.7222137
1/1/1989,345.9574859
1/1/1990,358.97323
1/1/1991,381.4547038
1/1/1992,424.9340659
1/1/1993,442.8745964
1/1/1994,562.2611299
1/1/1995,732.0320452
1/1/1996,860.844098
1/1/1997,958.1594248
1/1/1998,1025.276902
1/1/1999,1089.447109
1/1/2000,1205.260678
1/1/2001,1332.23472
1/1/2002,1461.906488
1/1/2003,1649.928718
1/1/2004,1941.745602
1/1/2005,2268.598904
1/1/2006,2729.784032
1/1/2007,3523.094315
1/1/2008,4558.431073
1/1/2009,5059.419738
1/1/2010,6039.658508
1/1/2011,7492.432098
1/1/2012,8461.623163
1/1/2013,9490.6026
1/1/2014,10351.11176
1/1/2015,10866.444
