,rest_name,rest_addr,city,phone,cuisine_type
0,arnie morton  s of chicago,435 s. la cienega blv .,los angeles,3102461501,america
1,art  s delicatessen,12224 ventura blvd.,studio city,8187621221,merican
2,campanile,624 s. la brea ave.,los angeles,2139381447,amurican
3,fenix,8358 sunset blvd. west,hollywood,2138486677,americen
4,grill on the alley,9560 dayton way,los angeles,3102760615,americann
5,restaurant katsu,1972 n. hillhurst ave.,los angeles,2136651891,asiane
6,locanda veneta,3rd st.,los angeles,3102741893,itali
7,matsuhisa,129 n. la cienega blvd.,beverly hills,3106599639,asiann
8,the palm,9001 santa monica blvd.,los angeles,3105508811,americann
9,philippe  s the original,1001 n. alameda st.,los angeles,2136283781,murican
10,rex il ristorante,617 s. olive st.,los angeles,2136272300,italien
11,valentino,3115 pico blvd.,santa monica,3108294313,italian
12,yujean kang' s gourmet chinese cuisine,67 n. raymond ave.,los angeles,8185850855,asiat
13,21 club,21 w. 52nd st.,new york,2125827200,american
14,aureole,34 e. 61st st.,new york,2123191660,americano
16,carmine  s,2450 broadway ,new york,2123622200,italiann
17,chanterelle,2 harrison st.,new york,2129666960,ameerican
18,dawat,210 e. 58th st.,new york,2123557555,asianne
19,felidia,243 e. 58th st.,new york,2127581479,italiano
20,four seasons grill room,99 e. 52nd st.,new york,2127549494,americin
21,gotham bar & grill,12 e. 12th st.,new york,2126204020,ammericann
22,gramercy tavern,42 e. 20th,new york,2124770777,americann
23,jo jo,160 e. 64th st.,new york,2122235656,amerycan
24,lespinasse,2 e. 55th st.,new york,2123396719,aamerican
25,march,405 e. 58th st.,new york,2127546272,italian
26,mesa grill,102 5th ave.,new york,2128077400,americann
28,park avenue cafe,,new york,2126441900,ameerican
29,river cafe,1 water st,brooklyn,7185225200,ameriican
30,san domenico,240 central park s,new york,2122655959,italiaan
31,seryna,11 e. 53rd st.,new york,2129809393,asiian
32,shun lee west,43 w. 65th st.,new york,2123718844,asiaan
33,sign of the dove,1110 3rd ave. at 65th st.,new york,2128618080,amerrican
34,smith & wollensky,201 e. 49th st.,new york,2127531530,ameerrican
35,avern on the green,in central park at 67th st.,new york,2128733200,ammereican
36,union square cafe,21 e. 16th st.,new york,2122434020,american
37,virgil  s,152 w. 44th st.,new york,2129219494,american
38,chin  s,3200 las vegas blvd. s,las vegas,7027338899,asian
41,abruzzi,2355 peachtree rd. . peachtree battle shoppin...,atlanta,4042618186,italian
42,bone  s,3130 piedmont road,atlanta,4042372663,american
43,buckhead diner,3073 piedmont road,atlanta,4042623336,american
44,steak house,2880 las vegas blvd. s,las vegas,7027340410,american
45,abruzzi,2355 peachtree rd.,atlanta,4042618186,american
46,bone's,3130 piedmont road,atlanta,4042372663,asian
47,buckhead diner,3073 piedmont road,atlanta,4042623336,italian
49,delectables,2290 peachtree rd.,atlanta,4046812909,italian
50,georgia grille,595 piedmont ave,atlanta,4043523517,american
51,heera of india,2637 peachtree rd,atlanta,4048764408,american
52,la grotta,peachtree house condomin...,atlanta,4042311368,american
53,mary mac's tea room,224 ponce de leon ave.,atlanta,4048761800,asian
54,veni vidi vici,41 14th st.,atlanta,4048758424,asian
55,boulevard,1 mission st.,san francisco,4155436084,american
56,campton place,340 stockton st.,san francisco,4159555555,american
57,hawthorne lane,22 hawthorne st.,san francisco,4157779779,italiaan
58,khan toke thai house,5937 geary blvd.,san francisco,4156686654,italian
59,intetsu building,1737 post st.,san francisco,4159220337,italianne
60,postrio,545 post st.,san francisco,4157767825,italiian
61,ritz-carlton restaurant and dining room,600 stockton st.,san francisco,4152967465,american
63,rose pistola,532 columbus ave.,san francisco,4153990499,american
64,il nido,251 e. 53rd st.,new york,2127538450,italian
65,remi,145 w. 53rd st.,new york,2125814242,italian
66,adriano's ristorante,2930 beverly glen circle,los angeles,3104759807,american
67,barney greengrass,9570 wilshire blvd.,beverly hills,3107775877,asian
68,border grill,4th st.,los angeles,3104511655,italiaan
69,broadway deli,3rd st. promenade,santa monica,3104510616,american
71,ca   brea,346 s. la brea ave.,los angeles,2139382863,american
72,ca   del sol,4100 cahuenga blvd.,los angeles,8189854669,american
73,canter's,419 n. fairfax ave.,los angeles,2136512030,american
74,chan dara,310 n. larchmont blvd.,los angeles,2134671052,italian
75,drago,2628 wilshire blvd.,santa monica,3108281585,itallian
76,ed debevic's,134 n. la cienega,los angeles,3106591952,asian
77,el cholo,1121 s. western ave.,los angeles,2137342773,asian
78,gilliland's,2424 main st.,santa monica,3103923901,italian
79,gladstone's 4 fish,17300 pacific coast hwy . at sunset bl...,pacific palisades,3104543474,asian
80,hard rock cafe,8600 beverly blvd.,los angeles,3102767605,american
