tid,name,aid,mtid,gid,u_price
3252,"Through the Looking Glass, Pt. 1",229,3,21,1.99
3337,"Past, Present, and Future",261,3,21,1.99
3338,The Beginning of the End,261,3,21,1.99
3339,LOST Season 4 Trailer,261,3,21,1.99
3340,LOST In 8:15,261,3,21,1.99
3341,Confirmed Dead,261,3,21,1.99
3342,The Economist,261,3,21,1.99
3343,Eggtown,261,3,19,1.99
3344,The Constant,261,3,21,1.99
3345,The Other Woman,261,3,21,1.99
3346,Ji Yeon,261,3,19,1.99
3347,Meet Kevin Johnson,261,3,19,1.99
3348,The Shape of Things to Come,261,3,21,1.99
3360,Something Nice Back Home,261,3,21,1.99
3361,Cabin Fever,261,3,21,1.99
3362,"There's No Place Like Home, Pt. 1",261,3,21,1.99
3363,"There's No Place Like Home, Pt. 2",261,3,21,1.99
3364,"There's No Place Like Home, Pt. 3",261,3,21,1.99
3428,Branch Closing,251,3,22,1.99
3429,The Return,251,3,22,1.99
